name,AP,R@100,nDCG@10
"BM25 (k1=1.2, b=0.75)",0.41005417742223144,0.6968632751934375,0.48713478794750736
"BM25 (k1=0.9, b=0.4)",0.38358266960074294,0.6795073165775074,0.4477030289589049
"BM25 (k1=1.5, b=0.75)",0.4115374937881055,0.7186424828279082,0.48890088918544256
"BM25 (k1=1.2, b=0.5)",0.4002094109384257,0.695025650595406,0.475774470480955
"BM25 (k1=2.0, b=0.75)",0.4165010437244444,0.7406309720700879,0.49379351778609076
"BM25 (k1=1.2, b=0.9)",0.3830838770852426,0.6871476967823016,0.44887022008802147
