name,AP,R@100,nDCG@10
"BM25 (k1=0.9, b=0.4) + RM3",0.41339253392273434,0.7805910763416952,0.48921543991031885
"BM25 (k1=0.8, b=0.3) + RM3",0.40711116632974037,0.7607917387872228,0.4764935071140784
"BM25 (k1=0.9, b=0.3) + RM3",0.4100326166360716,0.76751077214297,0.4768295647416812
"BM25 (k1=1.0, b=0.4) + RM3",0.41759577903522016,0.7852215549773087,0.4988190173700027
"BM25 (k1=0.7, b=0.4) + RM3",0.40919761589736864,0.7721451984019607,0.4792994957327985
"BM25 (k1=0.9, b=0.5) + RM3",0.42694508750957855,0.7934107284940541,0.501444759222294
"BM25 (k1=1.0, b=0.3) + RM3",0.4171162857141325,0.7769704858709765,0.4911023726760889
"BM25 (k1=0.8, b=0.4) + RM3",0.4114783849860541,0.7719958703780682,0.48766196847420995
