name,AP,R@100,nDCG@10
"RM3 (docs=10, terms=15, λ=0.5)",0.41339253392273434,0.7805910763416952,0.48921543991031885
"RM3 (docs=15, terms=20, λ=0.5)",0.4171010470448396,0.7880292949480783,0.5053830459847853
"RM3 (docs=10, terms=25, λ=0.5)",0.4211114874830192,0.7955842400030234,0.49957825603642764
"RM3 (docs=20, terms=15, λ=0.5)",0.4138833995410986,0.7839566132438176,0.4918588437412015
"RM3 (docs=10, terms=15, λ=0.4)",0.40850712842822656,0.7678728108978661,0.4756643957862608
"RM3 (docs=10, terms=15, λ=0.6)",0.41750348061882875,0.7819581882271,0.4906002084210218
"RM3 (docs=15, terms=20, λ=0.4)",0.41644535453237125,0.773526608319956,0.4977395089155313
"RM3 (docs=5, terms=10, λ=0.5)",0.4036217536633506,0.7761659510284121,0.46685884817820095
"RM3 (docs=10, terms=30, λ=0.5)",0.4260814169428384,0.7851675733363567,0.5005216255198494
