name,AP,R@100,nDCG@10
SPLADE Baseline,0.32566787068553765,0.6744822421399537,0.41373524254283056
BM25 Baseline,0.41005417742223144,0.6968632751934375,0.48713478794750736
Best Overall,0.41339253392273434,0.7805910763416952,0.48921543991031885
