name,AP,R@100,nDCG@10
Hybrid (SPLADE*0.5 + 20*BM25+RM3),0.41857536609479434,0.7739472084500051,0.47735170182012643
Hybrid (SPLADE*0.8 + 20*BM25+RM3),0.42001138877310545,0.7823202269819959,0.5049789069173727
Hybrid (SPLADE*1.0 + 20*BM25+RM3),0.41339253392273434,0.7805910763416952,0.48921543991031885
Hybrid (SPLADE*1.2 + 20*BM25+RM3),0.4119109908443125,0.7814621564810682,0.48122294227861145
Hybrid (SPLADE*1.5 + 20*BM25+RM3),0.4087480676078393,0.782478695836022,0.47916875460703656
Hybrid (SPLADE*2.0 + 20*BM25+RM3),0.4017316012685139,0.7699200024663073,0.46847116356411034
