name,AP,R@100,nDCG@10
Hybrid (w=0),0.32567962481032564,0.6744822421399537,0.41373524254283056
Hybrid (w=0.1),0.32769814286651094,0.6762244024186993,0.4144496156053581
Hybrid (w=0.2),0.32941072929961945,0.6762244024186993,0.4144496156053581
Hybrid (w=0.3),0.3299267671798401,0.6814192076135044,0.41550774664455525
Hybrid (w=0.4),0.3321319867955816,0.6822902877528773,0.41747355760361654
Hybrid (w=0.5),0.3336277961212225,0.6840760020385914,0.4176918072177666
Hybrid (w=0.6),0.3340872142943536,0.6930732547858443,0.41707769246093146
Hybrid (w=0.7),0.3356864088130886,0.6930732547858443,0.41751840991262995
Hybrid (w=0.8),0.3382881508753414,0.692464488552078,0.41795051369089337
Hybrid (w=0.9),0.34023662247404995,0.692464488552078,0.42051848001928344
Hybrid (w=1),0.3408763928338776,0.6933355686914507,0.42021567855814235
Hybrid (w=1),0.3408763928338776,0.6933355686914507,0.42021567855814235
Hybrid (w=2),0.3561285899055327,0.7107680599806494,0.4257382670695743
Hybrid (w=3),0.3674012428402814,0.736787503661243,0.42788127661971276
Hybrid (w=5),0.37662987279779275,0.7685422834343154,0.4244992685116075
Hybrid (w=8),0.3882843333112324,0.7799511127002875,0.4448492984886711
Hybrid (w=10),0.3972505995667141,0.7839945431374461,0.4539251668190784
Hybrid (w=15),0.41401310769741534,0.7928765388695702,0.4679714397389169
Hybrid (w=20),0.42545250018750913,0.8111459219255386,0.48561100734607765
Hybrid (w=30),0.4380137721272882,0.8104013558064082,0.4955041915111604
Hybrid (w=40),0.45218450761132606,0.8142977110964916,0.5118705521502277
Hybrid (w=50),0.450238658574002,0.805686408539196,0.5093759105976478
Hybrid (w=75),0.4528728541493291,0.775242991746522,0.509243463386258
Hybrid (w=1e+02),0.4488810751484768,0.7747361442706896,0.5147741744653763
