name,AP,R@100,nDCG@10
Fusion (SPLADE*1.0 + BM25*20.0 + BM25_RM3*0.0),0.4213006588381428,0.7928547039793142,0.4918319026402579
Fusion (SPLADE*1.0 + BM25*10.0 + BM25_RM3*10.0),0.4258759510850138,0.7817309123574023,0.4938586515676126
Fusion (SPLADE*1.0 + BM25*5.0 + BM25_RM3*15.0),0.41867407941366336,0.7856866026698001,0.4938312910914741
Fusion (SPLADE*1.0 + BM25*15.0 + BM25_RM3*10.0),0.43314124548897476,0.7875813881011708,0.511019071106592
Fusion (SPLADE*1.5 + BM25*15.0 + BM25_RM3*10.0),0.42073057571312056,0.7819742253437008,0.48601963172021995
Fusion (SPLADE*0.8 + BM25*20.0 + BM25_RM3*5.0),0.4365697634788585,0.8006343652908617,0.5104788402588069
Three-way RRF (k=30),0.3326950908829264,0.6746617284085191,0.4059567220670975
Three-way RRF (k=60),0.3040286598882288,0.680206841190474,0.3567456057747894
Three-way RRF (k=100),0.244366819372459,0.679356763453247,0.25550370285430696
