name,AP,R@100,nDCG@10
"Hybrid (tuned BM25+RM3, w=15)",0.4097931278243864,0.7740221987906749,0.48132784376308185
"Hybrid (tuned BM25+RM3, w=18)",0.408833763891244,0.7814621564810682,0.4795384767619028
"Hybrid (tuned BM25+RM3, w=20)",0.41339253392273434,0.7805910763416952,0.48921543991031885
"Hybrid (tuned BM25+RM3, w=22)",0.41326184200519317,0.7816114845049605,0.4927338519956133
"Hybrid (tuned BM25+RM3, w=25)",0.42001138877310545,0.7823202269819959,0.5049789069173727
"Hybrid (tuned BM25+RM3, w=28)",0.4214244716159354,0.784259138099914,0.5039742339171626
"Hybrid (tuned BM25+RM3, w=30)",0.4218464016404945,0.7783067571475331,0.4981996466375685
"Hybrid (tuned BM25+RM3, w=35)",0.4215042080773679,0.7714397420488105,0.4927752652032885
"Hybrid (tuned BM25+RM3, w=40)",0.41857536609479434,0.7739472084500051,0.47735170182012643
