name,AP,R@100,nDCG@10
SPLADE,0.32566787068553765,0.6744822421399537,0.41373524254283056
Hybrid (w=20),0.42545250018750913,0.8111459219255386,0.48561100734607765
Hybrid + Bo1,0.4143660670836492,0.8062815136856949,0.47874330654391
Hybrid + RM3,0.4250439870242369,0.7969065862031891,0.4965370687197848
