name,AP,R@100,nDCG@10
"RM3 (docs=10, terms=15, λ=0.5)",0.2853474550352722,0.4382438422854981,0.49926314672127353
"RM3 (docs=15, terms=20, λ=0.5)",0.2857542827230295,0.43745856799857197,0.4975485550507164
"RM3 (docs=10, terms=25, λ=0.5)",0.28595958370099783,0.43650369480071477,0.4991772828036059
"RM3 (docs=20, terms=15, λ=0.5)",0.28463751333741666,0.43771216624444537,0.49694107581352004
"RM3 (docs=10, terms=15, λ=0.4)",0.28825193155289974,0.4394545310205129,0.49878727195235767
"RM3 (docs=10, terms=15, λ=0.6)",0.28174317878460836,0.4319693727829505,0.4993132666152907
"RM3 (docs=15, terms=20, λ=0.4)",0.28937390429624193,0.4408860144534488,0.49804796221164566
"RM3 (docs=5, terms=10, λ=0.5)",0.28291070639154065,0.4359746230076215,0.4925846004539506
"RM3 (docs=10, terms=30, λ=0.5)",0.28619684779557714,0.43637492827267255,0.5008836011989332
