name,AP,R@100,nDCG@10
"BM25 (k1=1.2, b=0.75)",0.23686901967131468,0.40121776678523774,0.42442022218511544
"BM25 (k1=0.9, b=0.4)",0.25250911976567175,0.4128159255045711,0.4466289046221631
"BM25 (k1=1.5, b=0.75)",0.23296794974574275,0.3935546431153952,0.4251535186038686
"BM25 (k1=1.2, b=0.5)",0.24814987234705307,0.4085349595810661,0.4463694673415646
"BM25 (k1=2.0, b=0.75)",0.22598501264803117,0.38357475522039436,0.42342406821448747
"BM25 (k1=1.2, b=0.9)",0.22624521762563338,0.3867133626081988,0.4056436896402304
