name,AP,R@100,nDCG@10
Hybrid (SPLADE*0.5 + 20*BM25+RM3),0.30299632989460845,0.45934312060006166,0.49309624326782575
Hybrid (SPLADE*0.8 + 20*BM25+RM3),0.2923272193978775,0.44300723096945216,0.4971269833056704
Hybrid (SPLADE*1.0 + 20*BM25+RM3),0.2853474550352722,0.4382438422854981,0.49926314672127353
Hybrid (SPLADE*1.2 + 20*BM25+RM3),0.28055036832539715,0.4304917752127113,0.5013411088061083
Hybrid (SPLADE*1.5 + 20*BM25+RM3),0.275485158045227,0.4254811051735788,0.5015596158354247
Hybrid (SPLADE*2.0 + 20*BM25+RM3),0.2713710520591109,0.4185889450804008,0.4997949280668334
