name,AP,R@100,nDCG@10
Fusion (SPLADE*1.0 + BM25*20.0 + BM25_RM3*0.0),0.2648603267368066,0.40979859663470264,0.49048744791751947
Fusion (SPLADE*1.0 + BM25*10.0 + BM25_RM3*10.0),0.27583747353773524,0.42850695404754935,0.494543732828267
Fusion (SPLADE*1.0 + BM25*5.0 + BM25_RM3*15.0),0.2812089867282588,0.4332694304145952,0.498085176035088
Fusion (SPLADE*1.0 + BM25*15.0 + BM25_RM3*10.0),0.27987721073516286,0.43107039483174053,0.4939587586798489
Fusion (SPLADE*1.5 + BM25*15.0 + BM25_RM3*10.0),0.2713891565035355,0.419156588522568,0.4988394254602747
Fusion (SPLADE*0.8 + BM25*20.0 + BM25_RM3*5.0),0.2811527856028993,0.4293238146904589,0.4939632673661223
Three-way RRF (k=30),0.263501970500894,0.42411180156793954,0.45416648010724325
Three-way RRF (k=60),0.24819694633937364,0.41952733260864106,0.41431956744551984
Three-way RRF (k=100),0.22026280134176807,0.4132317609268985,0.3408026695911162
