name,AP,R@100,nDCG@10
"BM25 (k1=0.9, b=0.4) + RM3",0.2853474550352722,0.4382438422854981,0.49926314672127353
"BM25 (k1=0.8, b=0.3) + RM3",0.28624806427879584,0.4385675288408315,0.4966146470676793
"BM25 (k1=0.9, b=0.3) + RM3",0.286216010649481,0.43779819431575684,0.49661181565633844
"BM25 (k1=1.0, b=0.4) + RM3",0.2853075383282279,0.43672113728537243,0.49777886110024905
"BM25 (k1=0.7, b=0.4) + RM3",0.2854074782007047,0.4390081059862876,0.49770020731973624
"BM25 (k1=0.9, b=0.5) + RM3",0.283848554184905,0.4349144464205256,0.49721522594294565
"BM25 (k1=1.0, b=0.3) + RM3",0.28619033257795606,0.4371508287266409,0.4963255910284456
"BM25 (k1=0.8, b=0.4) + RM3",0.2855082434732953,0.4383895682021859,0.49761187743726454
