name,AP,R@100,nDCG@10
Hybrid (w=0),0.23069644585362836,0.3731557407088092,0.45482185104134
Hybrid (w=0.1),0.23185072447723945,0.37372654858050114,0.4554480066961505
Hybrid (w=0.2),0.2323049543490286,0.3739830390553002,0.45695473044058127
Hybrid (w=0.3),0.2331278230997056,0.3747540885255338,0.45765839421633886
Hybrid (w=0.4),0.23363726458337405,0.37539648097915934,0.45810011630213426
Hybrid (w=0.5),0.23412458484557444,0.37575090474457357,0.4587812313527345
Hybrid (w=0.6),0.23451245985514016,0.3768880390179218,0.45862246293061854
Hybrid (w=0.7),0.23519279428261688,0.3776870212887789,0.45995745867071713
Hybrid (w=0.8),0.23563216351287208,0.37852097634310483,0.45990803846712897
Hybrid (w=0.9),0.2360884219017424,0.3788377724085072,0.46020664929104615
Hybrid (w=1),0.23642043776385474,0.3796583523621991,0.46085854125542597
Hybrid (w=1),0.23642043776385474,0.3796583523621991,0.46085854125542597
Hybrid (w=2),0.2403015742538242,0.3848518951925794,0.46579860002369033
Hybrid (w=3),0.2428884516032834,0.38727206859916763,0.4707054702349524
Hybrid (w=5),0.24712428531184027,0.391839865318545,0.47665890013192924
Hybrid (w=8),0.2494503290654461,0.39325547224076207,0.4793296510638611
Hybrid (w=10),0.2499167277761948,0.3955325492426949,0.48168248424377286
Hybrid (w=15),0.25237506729153303,0.39615573067278903,0.48625125887277443
Hybrid (w=20),0.2554110125273604,0.39981757460563083,0.48711851187072985
Hybrid (w=30),0.2597629136829179,0.40908311360736827,0.48073997705050525
Hybrid (w=40),0.2620239048526753,0.41151155814006746,0.4739794700936349
Hybrid (w=50),0.2622696063293781,0.4144214794852849,0.4717262348268408
Hybrid (w=75),0.2607850802791111,0.41658505496025416,0.4632184042261651
Hybrid (w=1e+02),0.2598142434433873,0.4165819126145889,0.4563475620051058
