name,AP,R@100,nDCG@10
Hybrid (RM3 only),0.2853474550352722,0.4382438422854981,0.49926314672127353
Hybrid (RM3 → Bo1),0.29132032678080316,0.4430878789588622,0.48179052270857525
Hybrid (Bo1 → RM3),0.2870411748635311,0.4355020086466907,0.4863160425689728
