name,AP,R@100,nDCG@10
"Hybrid (tuned BM25+RM3, w=15)",0.2780037547539349,0.4283900895427005,0.5013558180837714
"Hybrid (tuned BM25+RM3, w=18)",0.28263441540214695,0.43308716273587083,0.49930672683661725
"Hybrid (tuned BM25+RM3, w=20)",0.2853474550352722,0.4382438422854981,0.49926314672127353
"Hybrid (tuned BM25+RM3, w=22)",0.28836973540157296,0.44092974113009176,0.4980648928737569
"Hybrid (tuned BM25+RM3, w=25)",0.2923272193978775,0.44300723096945216,0.4971269833056704
"Hybrid (tuned BM25+RM3, w=28)",0.29547002669756,0.4472991550205576,0.496682552756941
"Hybrid (tuned BM25+RM3, w=30)",0.297036001021982,0.45118220813003246,0.4968983496301097
"Hybrid (tuned BM25+RM3, w=35)",0.3008976736518475,0.45529429409626615,0.49698045814916314
"Hybrid (tuned BM25+RM3, w=40)",0.30299632989460845,0.45934312060006166,0.49309624326782575
